iter, loss
1,1.0627397160870689
2,0.9790385825293405
3,0.9167147411618914
4,0.8853148887838637
5,0.86870541538511
6,0.8589890338693347
7,0.8527692428656987
8,0.8484890462671008
9,0.8453745404311589
10,0.8430053305625915
11,0.8411386569908686
12,0.8396266623905727
13,0.8383734706469944
14,0.8373148787021637
15,0.8364069940362657
16,0.8356185208048139
17,0.8349259729044778
18,0.8343117163862501
19,0.8337627162252154
20,0.8332688552992684
21,0.8328216031619481
22,0.8324140793936593
23,0.832041016476495
24,0.8316981259414128
25,0.8313815835544042
26,0.8310882350376674
27,0.8308153804710933
28,0.8305609566824776
29,0.8303230655193329
30,0.8300999961580549
31,0.8298901103224073
32,0.8296924194267817
33,0.829505819763456
34,0.8293292960098811
35,0.8291620113168444
36,0.829003107718059
37,0.828852037021092
38,0.8287081130913325
39,0.828570864881788
40,0.828439826624734
41,0.8283145070075989
42,0.8281944681916918
43,0.8280793304102761
44,0.8279688201631819
45,0.8278626479421343
46,0.8277604728085655
47,0.8276620905739921
48,0.8275672335284097
49,0.8274757279668535
50,0.8273873519897461
51,0.8273019329139164
52,0.8272193000997816
53,0.8271392626421792
54,0.8270616808959416
55,0.8269864380359649
56,0.8269134891033173
57,0.8268425788198198
58,0.826773670230593
59,0.8267067067963736
60,0.8266414518015726
61,0.8265779529299054
62,0.8265160916532789
63,0.8264557187897819
64,0.8263968021529061
65,0.8263393151760101
66,0.8262830591201782
67,0.8262280992099217
68,0.8261743710722242
69,0.826121768781117
70,0.8260702628748757
71,0.8260198496069227
72,0.825970436504909
73,0.8259219506808689
74,0.8258743909427098
75,0.8258277130126953
76,0.8257818966252464
77,0.825736915894917
78,0.8256926817553384
79,0.8256491936956133
80,0.8256064099924905
81,0.8255642638887678
82,0.8255227986403874
83,0.825481938464301
84,0.825441677059446
85,0.8254019985880171
86,0.8253627984864371
87,0.825324136870248
88,0.8252859660557338
89,0.8252482429572514
90,0.8252109604222434
91,0.825174070256097
92,0.8251375549180167
93,0.8251014164515904
94,0.825065633058548
95,0.8250301885604858
96,0.8249950797217233
97,0.824960264137813
98,0.8249257814884186
99,0.824891585452216
100,0.8248577032770429
